S.No,Hospital Name,Hospital Type,District,Mandal,Municipality,Mithra Name (Mobile Number),Specialities
470,PHC Edira,Government-DPH,Mahabubnagar,Mahabubnagar Urban,Mahabubnagar,Dr Asagr Ali (9885621303),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
471,PHC Eligaid,Government-DPH,Peddapalli,Eligaid,-,Dr.P.Purushotham (9246935364),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
472,PHC Eliminedu,Government-DPH,Rangareddy,Ibrahimpatnam,-,Dr. V. J. Abhiram (6300633237),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
473,PHC Elkathurthy,Government-DPH,Hanumakonda,Elkathurthi,-,Dr Ifthikar Ahmad (9440285454),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
474,PHC Ellandakunta,Government-DPH,Karimnagar,Ellandakunta,-,Dr.Jyothsna (9550914849),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
475,PHC Ellanthakunta,Government-DPH,Rajanna Sircilla,Ellanthakunta,-,Dr.K.Srikar (9963992223),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
476,PHC Enkoor,Government-DPH,Khammam,Enkoor,-,Dr Pavan Kumar (9989027131); Dr Althaf (9666553786),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
477,PHC Erragunta,Government-DPH,Bhadradri Kothagudem,Chandrugonda,-,Dr. G Chetan (9542227068); Dr. K. Priyanka (9494044167),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
478,PHC Errapahad,Government-DPH,Kamareddy,Tadwai,-,Dr.B.Ravinder Reddy (6281501778),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
479,PHC GI Pally,Government-DPH,Rangareddy,Talakondapalle,-,Dr.Azeem (9494353695),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
480,PHC Gaddalapally,Government-DPH,Peddapalli,Manthani,-,Dr A.Shankara Devi (9160305534),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
481,PHC Gadipeddapur,Government-DPH,Medak,Alladurg,-,Dr. Fouzia Zaheer (8977110450),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
482,PHC Gandeed,Government-DPH,Mahabubnagar,Gandeed,-,Dr.A.Sunitha (7995440545),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
483,PHC Gandhampally,Government-DPH,Mahabubabad,Bayyaram,-,Dr.M.Rajendra Prasad (8008221516),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
484,PHC Gangadhara,Government-DPH,Karimnagar,Gangadhara,-,Dr.Usha Khandal (9963458542),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
485,PHC Gangapur,Government-DPH,Mahabubnagar,Jadcherla,-,Dr.Samatharaj (9966246263),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
486,PHC Gangaram,Government-DPH,Mahabubabad,Gangaram,-,Dr.Mukram (7013681208),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
487,PHC Garedepally,Government-DPH,Suryapet,Garide Pally,-,Dr.B.Ramya (8074010389),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
488,PHC Garrepally,Government-DPH,Peddapalli,Sulthanabad,-,Dr.D.Chandrashekar (9640069188),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
489,PHC Geesugonda,Government-DPH,Warangal,Geesugonda,-,Dr.S.Madhavilatha (9989611121); Dr.N.Sridhar (9347937007),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
490,PHC Ghanpoor,Government-DPH,Wanaparthy,Ghanpur,-,Dr.M.Shanker (8328002980),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
491,PHC Ghattu,Government-DPH,Jogulamba Gadwal,Ghattu,-,Dr P.Maruthinandan Goud (8074588294); Dr G.Raju (8985807184),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
492,PHC Gimma,Government-DPH,Adilabad,Jainath,-,Dr. Gopathi Srinivas (8106479188); Dr. Nilofeer (9059881293),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
493,PHC Ginnedari,Government-DPH,Komaram Bheem Asifabad,Tiryani,-,Dr Ravikiran (8019195673),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
